run; iterations; problem; colony size; Fitness; Total Time 
 10; 50; 6; 8192; 10618; 1.00731
 10; 50; 5; 1024; 12400; 0.68669
 10; 50; 5; 1024; 12400; 0.62064
 10; 50; 5; 1024; 12400; 0.61894
 10; 50; 5; 1024; 12400; 0.61876
 10; 50; 5; 1024; 12400; 0.61691
 10; 50; 5; 1024; 12400; 0.61659
 10; 50; 5; 1024; 12400; 0.61479
 10; 50; 5; 1024; 12400; 0.61497
 10; 50; 5; 1024; 12400; 0.61778
 10; 50; 5; 1024; 12400; 0.61123
 10; 50; 5; 2048; 12400; 0.61303
 10; 50; 5; 2048; 12400; 0.61826
 10; 50; 5; 2048; 12400; 0.61831
 10; 50; 5; 2048; 12400; 0.61709
 10; 50; 5; 2048; 12400; 0.61826
 10; 50; 5; 2048; 12400; 0.61768
 10; 50; 5; 2048; 12400; 0.61829
 10; 50; 5; 2048; 12400; 0.61414
 10; 50; 5; 2048; 12400; 0.61349
 10; 50; 5; 2048; 12400; 0.61759
 10; 50; 5; 4096; 12400; 0.61988
 10; 50; 5; 4096; 12400; 0.61801
 10; 50; 5; 4096; 12400; 0.62322
 10; 50; 5; 4096; 12400; 0.62155
 10; 50; 5; 4096; 12400; 0.61995
 10; 50; 5; 4096; 12400; 0.61938
 10; 50; 5; 4096; 12400; 0.62269
 10; 50; 5; 4096; 12400; 0.62175
 10; 50; 5; 4096; 12400; 0.61648
 10; 50; 5; 4096; 12400; 0.61737
 10; 50; 5; 8192; 12400; 0.62899
 10; 50; 5; 8192; 12400; 0.62811
 10; 50; 5; 8192; 12400; 0.63156
 10; 50; 5; 8192; 12400; 0.63171
 10; 50; 5; 8192; 12400; 0.63166
 10; 50; 5; 8192; 12400; 0.63158
 10; 50; 5; 8192; 12400; 0.63050
 10; 50; 5; 8192; 12400; 0.63017
 10; 50; 5; 8192; 12400; 0.63145
 10; 50; 5; 8192; 12400; 0.63149
 10; 50; 4; 1024; 6120; 0.36189
 10; 50; 4; 1024; 6120; 0.29611
 10; 50; 4; 1024; 6120; 0.29640
 10; 50; 4; 1024; 6120; 0.29668
 10; 50; 4; 1024; 6120; 0.29749
 10; 50; 4; 1024; 6120; 0.29655
 10; 50; 4; 1024; 6120; 0.29821
 10; 50; 4; 1024; 6120; 0.29767
 10; 50; 4; 1024; 6120; 0.29788
 10; 50; 4; 1024; 6120; 0.29983
 10; 50; 4; 2048; 6120; 0.29996
 10; 50; 4; 2048; 6120; 0.29979
 10; 50; 4; 2048; 6120; 0.29850
 10; 50; 4; 2048; 6120; 0.29838
 10; 50; 4; 2048; 6120; 0.29965
 10; 50; 4; 2048; 6120; 0.29953
 10; 50; 4; 2048; 6120; 0.29975
 10; 50; 4; 2048; 6120; 0.29835
 10; 50; 4; 2048; 6120; 0.29867
 10; 50; 4; 2048; 6120; 0.29900
 10; 50; 4; 4096; 6120; 0.30497
 10; 50; 4; 4096; 6120; 0.30355
 10; 50; 4; 4096; 6120; 0.30416
 10; 50; 4; 4096; 6120; 0.30382
 10; 50; 4; 4096; 6120; 0.30152
 10; 50; 4; 4096; 6120; 0.30223
 10; 50; 4; 4096; 6120; 0.30266
 10; 50; 4; 4096; 6120; 0.30178
 10; 50; 4; 4096; 6120; 0.30496
 10; 50; 4; 4096; 6120; 0.30480
 10; 50; 4; 8192; 6120; 0.31420
 10; 50; 4; 8192; 6120; 0.31490
 10; 50; 4; 8192; 6120; 0.31519
 10; 50; 4; 8192; 6120; 0.31470
