Runs; Iterations;Problem;ants;BestSequence;RouteDistance;Time;
29;15;2;1024;
30;15;2;1024;
1;15;2;2048;
2;15;2;2048;
3;15;2;2048;
4;15;2;2048;
5;15;2;2048;
6;15;2;2048;
7;15;2;2048;
8;15;2;2048;
9;15;2;2048;
10;15;2;2048;
11;15;2;2048;
12;15;2;2048;
13;15;2;2048;
14;15;2;2048;
15;15;2;2048;
16;15;2;2048;
17;15;2;2048;
18;15;2;2048;
19;15;2;2048;
20;15;2;2048;
21;15;2;2048;
22;15;2;2048;
23;15;2;2048;
24;15;2;2048;
25;15;2;2048;
26;15;2;2048;
27;15;2;2048;
28;15;2;2048;
29;15;2;2048;
30;15;2;2048;
1;15;2;4096;
2;15;2;4096;
3;15;2;4096;
4;15;2;4096;
5;15;2;4096;
6;15;2;4096;
7;15;2;4096;
8;15;2;4096;
9;15;2;4096;
10;15;2;4096;
11;15;2;4096;
12;15;2;4096;
13;15;2;4096;
14;15;2;4096;
15;15;2;4096;
16;15;2;4096;
17;15;2;4096;
18;15;2;4096;
19;15;2;4096;
20;15;2;4096;
21;15;2;4096;
22;15;2;4096;
23;15;2;4096;
24;15;2;4096;
25;15;2;4096;
26;15;2;4096;
27;15;2;4096;
28;15;2;4096;
29;15;2;4096;
30;15;2;4096;
1;15;2;8192;
2;15;2;8192;
3;15;2;8192;
4;15;2;8192;
5;15;2;8192;
6;15;2;8192;
7;15;2;8192;
8;15;2;8192;
9;15;2;8192;
10;15;2;8192;
11;15;2;8192;
12;15;2;8192;
13;15;2;8192;
14;15;2;8192;
15;15;2;8192;
16;15;2;8192;
17;15;2;8192;
18;15;2;8192;
19;15;2;8192;
20;15;2;8192;
21;15;2;8192;
22;15;2;8192;
23;15;2;8192;
24;15;2;8192;
25;15;2;8192;
26;15;2;8192;
27;15;2;8192;
28;15;2;8192;
29;15;2;8192;
30;15;2;8192;
1;15;3;1024;0;9999.99900;0.72812; 
2;15;3;1024;0;9999.99900;0.68540; 
3;15;3;1024;0;9999.99900;0.68772; 
4;15;3;1024;0;9999.99900;0.71911; 
5;15;3;1024;0;9999.99900;0.68965; 
6;15;3;1024;0;9999.99900;0.71474; 
7;15;3;1024;0;9999.99900;0.69335; 
8;15;3;1024;0;9999.99900;0.73662; 
9;15;3;1024;0;9999.99900;0.69092; 
10;15;3;1024;0;9999.99900;0.69060; 
11;15;3;1024;0;9999.99900;0.68923; 
12;15;3;1024;0;9999.99900;0.70234; 
13;15;3;1024;0;9999.99900;0.69087; 
14;15;3;1024;0;9999.99900;0.69201; 
15;15;3;1024;0;9999.99900;0.69194; 
16;15;3;1024;0;9999.99900;0.71541; 
17;15;3;1024;0;9999.99900;0.69126; 
18;15;3;1024;0;9999.99900;0.67612; 
19;15;3;1024;0;9999.99900;0.69059; 
20;15;3;1024;0;9999.99900;0.70642; 
21;15;3;1024;0;9999.99900;0.69105; 
22;15;3;1024;0;9999.99900;0.73340; 
23;15;3;1024;0;9999.99900;0.69170; 
24;15;3;1024;0;9999.99900;0.67923; 
25;15;3;1024;0;9999.99900;0.68849; 
26;15;3;1024;0;9999.99900;0.72958; 
27;15;3;1024;0;9999.99900;0.69207; 
28;15;3;1024;0;9999.99900;0.69583; 
29;15;3;1024;0;9999.99900;0.69205; 
30;15;3;1024;0;9999.99900;0.70165; 
1;15;3;2048;0;9999.99900;0.70061; 
2;15;3;2048;0;9999.99900;0.68160; 
3;15;3;2048;0;9999.99900;0.68256; 
4;15;3;2048;0;9999.99900;0.72040; 
5;15;3;2048;0;9999.99900;0.69881; 
6;15;3;2048;0;9999.99900;0.67693; 
7;15;3;2048;0;9999.99900;0.66577; 
8;15;3;2048;0;9999.99900;0.68692; 
9;15;3;2048;0;9999.99900;0.73048; 
10;15;3;2048;0;9999.99900;0.69984; 
11;15;3;2048;0;9999.99900;0.69723; 
12;15;3;2048;0;9999.99900;0.69724; 
13;15;3;2048;0;9999.99900;0.69715; 
14;15;3;2048;0;9999.99900;0.67773; 
15;15;3;2048;0;9999.99900;0.68252; 
16;15;3;2048;0;9999.99900;0.68257; 
17;15;3;2048;0;9999.99900;0.69533; 
18;15;3;2048;0;9999.99900;0.66645; 
19;15;3;2048;0;9999.99900;0.68292; 
20;15;3;2048;0;9999.99900;0.70865; 
21;15;3;2048;0;9999.99900;0.69835; 
22;15;3;2048;0;9999.99900;0.69867; 
23;15;3;2048;0;9999.99900;0.69689; 
24;15;3;2048;0;9999.99900;0.70558; 
25;15;3;2048;0;9999.99900;0.69954; 
26;15;3;2048;0;9999.99900;0.69641; 
27;15;3;2048;0;9999.99900;0.69727; 
28;15;3;2048;0;9999.99900;0.71690; 
29;15;3;2048;0;9999.99900;0.69754; 
30;15;3;2048;0;9999.99900;0.72802; 
1;15;3;4096;0;9999.99900;1.00064; 
2;15;3;4096;0;9999.99900;1.04991; 
3;15;3;4096;0;9999.99900;0.97694; 
4;15;3;4096;0;9999.99900;1.01392; 
5;15;3;4096;0;9999.99900;1.01081; 
6;15;3;4096;0;9999.99900;1.02908; 
7;15;3;4096;0;9999.99900;1.01718; 
8;15;3;4096;0;9999.99900;1.01284; 
9;15;3;4096;0;9999.99900;1.03783; 
10;15;3;4096;0;9999.99900;1.02152; 
11;15;3;4096;0;9999.99900;1.02806; 
12;15;3;4096;0;9999.99900;0.99775; 
13;15;3;4096;0;9999.99900;1.01230; 
14;15;3;4096;0;9999.99900;0.99517; 
15;15;3;4096;0;9999.99900;1.04309; 
16;15;3;4096;0;9999.99900;1.01911; 
17;15;3;4096;0;9999.99900;1.05562; 
18;15;3;4096;0;9999.99900;1.03751; 
19;15;3;4096;0;9999.99900;1.01339; 
20;15;3;4096;0;9999.99900;1.00880; 
21;15;3;4096;0;9999.99900;1.01949; 
22;15;3;4096;0;9999.99900;1.01973; 
23;15;3;4096;0;9999.99900;1.04033; 
24;15;3;4096;0;9999.99900;1.01607; 
25;15;3;4096;0;9999.99900;1.01857; 
26;15;3;4096;0;9999.99900;1.01964; 
27;15;3;4096;0;9999.99900;0.99601; 
28;15;3;4096;0;9999.99900;1.02128; 
29;15;3;4096;0;9999.99900;1.01191; 
30;15;3;4096;0;9999.99900;1.02079; 
1;15;3;8192;0;9999.99900;1.26666; 
2;15;3;8192;0;9999.99900;1.25123; 
3;15;3;8192;0;9999.99900;1.23401; 
4;15;3;8192;0;9999.99900;1.25133; 
5;15;3;8192;0;9999.99900;1.29135; 
6;15;3;8192;0;9999.99900;1.26693; 
7;15;3;8192;0;9999.99900;1.26283; 
8;15;3;8192;0;9999.99900;1.24590; 
9;15;3;8192;0;9999.99900;1.25017; 
10;15;3;8192;0;9999.99900;1.26582; 
11;15;3;8192;0;9999.99900;1.26844; 
12;15;3;8192;0;9999.99900;1.29464; 
13;15;3;8192;0;9999.99900;1.30581; 
14;15;3;8192;0;9999.99900;1.24619; 
15;15;3;8192;0;9999.99900;1.26179; 
16;15;3;8192;0;9999.99900;1.26401; 
17;15;3;8192;0;9999.99900;1.31532; 
18;15;3;8192;0;9999.99900;1.22264; 
19;15;3;8192;0;9999.99900;1.26709; 
20;15;3;8192;0;9999.99900;1.26465; 
21;15;3;8192;0;9999.99900;1.26809; 
22;15;3;8192;0;9999.99900;1.26715; 
23;15;3;8192;0;9999.99900;1.24584; 
24;15;3;8192;0;9999.99900;1.24982; 
25;15;3;8192;0;9999.99900;1.26913; 
26;15;3;8192;0;9999.99900;1.26618; 
27;15;3;8192;0;9999.99900;1.26616; 
28;15;3;8192;0;9999.99900;1.31426; 
29;15;3;8192;0;9999.99900;1.25288; 
30;15;3;8192;0;9999.99900;1.26784; 
1;15;4;1024;
2;15;4;1024;
3;15;4;1024;
4;15;4;1024;
5;15;4;1024;
6;15;4;1024;
7;15;4;1024;
8;15;4;1024;
9;15;4;1024;
10;15;4;1024;
11;15;4;1024;
12;15;4;1024;
13;15;4;1024;
14;15;4;1024;
15;15;4;1024;
16;15;4;1024;
17;15;4;1024;
18;15;4;1024;
19;15;4;1024;
20;15;4;1024;
21;15;4;1024;
22;15;4;1024;
23;15;4;1024;
24;15;4;1024;
25;15;4;1024;
26;15;4;1024;
27;15;4;1024;
28;15;4;1024;
29;15;4;1024;
30;15;4;1024;
1;15;4;2048;
2;15;4;2048;
3;15;4;2048;
4;15;4;2048;
5;15;4;2048;
6;15;4;2048;
7;15;4;2048;
8;15;4;2048;
9;15;4;2048;
10;15;4;2048;
11;15;4;2048;
12;15;4;2048;
13;15;4;2048;
14;15;4;2048;
15;15;4;2048;
16;15;4;2048;
17;15;4;2048;
18;15;4;2048;
19;15;4;2048;
20;15;4;2048;
21;15;4;2048;
22;15;4;2048;
23;15;4;2048;
24;15;4;2048;
25;15;4;2048;
26;15;4;2048;
27;15;4;2048;
28;15;4;2048;
29;15;4;2048;
30;15;4;2048;
1;15;4;4096;
2;15;4;4096;
3;15;4;4096;
4;15;4;4096;
5;15;4;4096;
6;15;4;4096;
7;15;4;4096;
8;15;4;4096;
9;15;4;4096;
10;15;4;4096;
11;15;4;4096;
12;15;4;4096;
13;15;4;4096;
14;15;4;4096;
15;15;4;4096;
16;15;4;4096;
17;15;4;4096;
18;15;4;4096;
19;15;4;4096;
20;15;4;4096;
21;15;4;4096;
22;15;4;4096;
23;15;4;4096;
24;15;4;4096;
25;15;4;4096;
26;15;4;4096;
27;15;4;4096;
28;15;4;4096;
29;15;4;4096;
30;15;4;4096;
1;15;4;8192;
2;15;4;8192;
3;15;4;8192;
4;15;4;8192;
5;15;4;8192;
6;15;4;8192;
7;15;4;8192;
8;15;4;8192;
9;15;4;8192;
10;15;4;8192;
11;15;4;8192;
12;15;4;8192;
13;15;4;8192;
14;15;4;8192;
15;15;4;8192;
16;15;4;8192;
17;15;4;8192;
18;15;4;8192;
19;15;4;8192;
20;15;4;8192;
21;15;4;8192;
22;15;4;8192;
23;15;4;8192;
24;15;4;8192;
25;15;4;8192;
26;15;4;8192;
27;15;4;8192;
28;15;4;8192;
29;15;4;8192;
30;15;4;8192;
1;15;5;1024;0;9999.99900;0.73874; 
2;15;5;1024;0;9999.99900;0.71911; 
3;15;5;1024;0;9999.99900;0.72190; 
4;15;5;1024;0;9999.99900;0.72093; 
5;15;5;1024;0;9999.99900;0.71344; 
6;15;5;1024;0;9999.99900;0.73888; 
7;15;5;1024;0;9999.99900;0.74859; 
8;15;5;1024;0;9999.99900;0.72077; 
9;15;5;1024;0;9999.99900;0.73710; 
10;15;5;1024;0;9999.99900;0.72038; 
11;15;5;1024;0;9999.99900;0.75836; 
12;15;5;1024;0;9999.99900;0.72173; 
13;15;5;1024;0;9999.99900;0.70742; 
14;15;5;1024;0;9999.99900;0.72034; 
15;15;5;1024;0;9999.99900;0.73080; 
16;15;5;1024;0;9999.99900;0.72112; 
17;15;5;1024;0;9999.99900;0.74698; 
18;15;5;1024;0;9999.99900;0.72055; 
19;15;5;1024;0;9999.99900;0.69931; 
20;15;5;1024;0;9999.99900;0.74819; 
21;15;5;1024;0;9999.99900;0.69962; 
22;15;5;1024;0;9999.99900;0.73447; 
23;15;5;1024;0;9999.99900;0.69573; 
24;15;5;1024;0;9999.99900;0.69778; 
25;15;5;1024;0;9999.99900;0.70820; 
26;15;5;1024;0;9999.99900;0.76406; 
27;15;5;1024;0;9999.99900;0.72228; 
28;15;5;1024;0;9999.99900;0.74396; 
29;15;5;1024;0;9999.99900;0.72694; 
30;15;5;1024;0;9999.99900;0.75091; 
1;15;5;2048;0;9999.99900;0.71408; 
2;15;5;2048;0;9999.99900;0.71825; 
3;15;5;2048;0;9999.99900;0.71253; 
4;15;5;2048;0;9999.99900;0.69277; 
5;15;5;2048;0;9999.99900;0.71432; 
6;15;5;2048;0;9999.99900;0.71159; 
7;15;5;2048;0;9999.99900;0.71248; 
8;15;5;2048;0;9999.99900;0.72315; 
9;15;5;2048;0;9999.99900;0.75371; 
10;15;5;2048;0;9999.99900;0.70097; 
11;15;5;2048;0;9999.99900;0.68959; 
12;15;5;2048;0;9999.99900;0.71106; 
13;15;5;2048;0;9999.99900;0.71357; 
14;15;5;2048;0;9999.99900;0.72181; 
15;15;5;2048;0;9999.99900;0.70071; 
16;15;5;2048;0;9999.99900;0.69434; 
17;15;5;2048;0;9999.99900;0.73521; 
18;15;5;2048;0;9999.99900;0.67825; 
19;15;5;2048;0;9999.99900;0.70680; 
20;15;5;2048;0;9999.99900;0.71406; 
21;15;5;2048;0;9999.99900;0.74516; 
22;15;5;2048;0;9999.99900;0.71321; 
23;15;5;2048;0;9999.99900;0.69692; 
24;15;5;2048;0;9999.99900;0.71453; 
25;15;5;2048;0;9999.99900;0.69057; 
26;15;5;2048;0;9999.99900;0.71628; 
27;15;5;2048;0;9999.99900;0.69878; 
28;15;5;2048;0;9999.99900;0.71331; 
29;15;5;2048;0;9999.99900;0.68734; 
30;15;5;2048;0;9999.99900;0.71393; 
1;15;5;4096;0;9999.99900;1.05900; 
2;15;5;4096;0;9999.99900;1.06565; 
3;15;5;4096;0;9999.99900;1.04209; 
4;15;5;4096;0;9999.99900;1.04015; 
5;15;5;4096;0;9999.99900;1.06476; 
6;15;5;4096;0;9999.99900;1.03901; 
7;15;5;4096;0;9999.99900;1.01844; 
8;15;5;4096;0;9999.99900;1.03466; 
9;15;5;4096;0;9999.99900;1.03835; 
10;15;5;4096;0;9999.99900;1.00188; 
11;15;5;4096;0;9999.99900;1.01922; 
12;15;5;4096;0;9999.99900;1.03885; 
13;15;5;4096;0;9999.99900;1.03665; 
14;15;5;4096;0;9999.99900;1.08433; 
15;15;5;4096;0;9999.99900;1.02161; 
16;15;5;4096;0;9999.99900;1.05043; 
17;15;5;4096;0;9999.99900;1.02553; 
18;15;5;4096;0;9999.99900;1.04100; 
19;15;5;4096;0;9999.99900;1.03366; 
20;15;5;4096;0;9999.99900;1.01086; 
21;15;5;4096;0;9999.99900;1.03799; 
22;15;5;4096;0;9999.99900;1.05148; 
23;15;5;4096;0;9999.99900;1.01651; 
24;15;5;4096;0;9999.99900;1.01659; 
25;15;5;4096;0;9999.99900;1.02542; 
26;15;5;4096;0;9999.99900;1.05221; 
27;15;5;4096;0;9999.99900;1.03871; 
28;15;5;4096;0;9999.99900;1.02510; 
29;15;5;4096;0;9999.99900;1.07286; 
30;15;5;4096;0;9999.99900;1.03733; 
1;15;5;8192;0;9999.99900;1.29491; 
2;15;5;8192;0;9999.99900;1.27616; 
3;15;5;8192;0;9999.99900;1.30045; 
4;15;5;8192;0;9999.99900;1.30524; 
5;15;5;8192;0;9999.99900;1.30376; 
6;15;5;8192;0;9999.99900;1.26447; 
7;15;5;8192;0;9999.99900;1.32265; 
8;15;5;8192;0;9999.99900;1.31533; 
