run; iterations; problem; colony size; Fitness; Total Time 

 ACO - Begin Of Execution
 run;	iter;	prob;	col size;	Fitness;	Total Time ;
 4;	50;	5;	4096;		12400.000000,	0.280017 ;
 5;	50;	5;	4096;		12400.000000,	0.280734 ;
 6;	50;	5;	4096;		12400.000000,	0.280147 ;
 7;	50;	5;	4096;		12400.000000,	0.278470 ;
 8;	50;	5;	4096;		12400.000000,	0.277141 ;
 9;	50;	5;	4096;		12400.000000,	0.277133 ;
 0;	50;	5;	8192;		12400.000000,	0.393080 ;
 1;	50;	5;	8192;		12400.000000,	0.392896 ;
 2;	50;	5;	8192;		12400.000000,	0.392405 ;
 3;	50;	5;	8192;		12400.000000,	0.391095 ;
 4;	50;	5;	8192;		12400.000000,	0.391956 ;
 5;	50;	5;	8192;		12400.000000,	0.391273 ;
 6;	50;	5;	8192;		12400.000000,	0.395280 ;
 7;	50;	5;	8192;		12400.000000,	0.394563 ;
 8;	50;	5;	8192;		12400.000000,	0.395404 ;
 9;	50;	5;	8192;		12400.000000,	0.394831 ;
 End Of Execution 

 ACO - Begin Of Execution
 run;	iter;	prob;	col size;	Fitness;	Total Time ;
 0;	50;	4;	1024;		6120.000000,	2.076006 ;
 1;	50;	4;	1024;		6120.000000,	0.149550 ;
 2;	50;	4;	1024;		6120.000000,	0.122755 ;
 3;	50;	4;	1024;		6120.000000,	0.123512 ;
 4;	50;	4;	1024;		6120.000000,	0.118279 ;
 5;	50;	4;	1024;		6120.000000,	0.121144 ;
 6;	50;	4;	1024;		6120.000000,	0.119907 ;
 7;	50;	4;	1024;		6120.000000,	0.121215 ;
 8;	50;	4;	1024;		6120.000000,	0.118215 ;
 9;	50;	4;	1024;		6120.000000,	0.122435 ;
 0;	50;	4;	2048;		6120.000000,	0.128607 ;
 1;	50;	4;	2048;		6120.000000,	0.128058 ;
 2;	50;	4;	2048;		6120.000000,	0.128317 ;
 3;	50;	4;	2048;		6120.000000,	0.128633 ;
 4;	50;	4;	2048;		6120.000000,	0.127960 ;
 5;	50;	4;	2048;		6120.000000,	0.132666 ;
 6;	50;	4;	2048;		6120.000000,	0.130008 ;
 7;	50;	4;	2048;		6120.000000,	0.129141 ;
 8;	50;	4;	2048;		6120.000000,	0.130123 ;
 9;	50;	4;	2048;		6120.000000,	0.128172 ;
 0;	50;	4;	4096;		6120.000000,	0.141576 ;
 1;	50;	4;	4096;		6120.000000,	0.137938 ;
 2;	50;	4;	4096;		6120.000000,	0.139834 ;
 3;	50;	4;	4096;		6120.000000,	0.139266 ;
 4;	50;	4;	4096;		6120.000000,	0.138904 ;
 5;	50;	4;	4096;		6120.000000,	0.138290 ;
 6;	50;	4;	4096;		6120.000000,	0.137811 ;
 7;	50;	4;	4096;		6120.000000,	0.139601 ;
 8;	50;	4;	4096;		6120.000000,	0.137575 ;
 9;	50;	4;	4096;		6120.000000,	0.139115 ;
 0;	50;	4;	8192;		6120.000000,	0.201188 ;
 1;	50;	4;	8192;		6120.000000,	0.203724 ;
 2;	50;	4;	8192;		6120.000000,	0.203387 ;
 3;	50;	4;	8192;		6120.000000,	0.205756 ;
 4;	50;	4;	8192;		6120.000000,	0.204526 ;
 5;	50;	4;	8192;		6120.000000,	0.202399 ;
 6;	50;	4;	8192;		6120.000000,	0.201335 ;
 7;	50;	4;	8192;		6120.000000,	0.203619 ;
 8;	50;	4;	8192;		6120.000000,	0.203012 ;
 9;	50;	4;	8192;		6120.000000,	0.202706 ;
 End Of Execution 

 ACO - Begin Of Execution
 run;	iter;	prob;	col size;	Fitness;	Total Time ;
 0;	50;	3;	1024;		4015.000000,	2.008992 ;
 1;	50;	3;	1024;		4015.000000,	0.108022 ;
 2;	50;	3;	1024;		4015.000000,	0.097513 ;
 3;	50;	3;	1024;		4015.000000,	0.081261 ;
 4;	50;	3;	1024;		4015.000000,	0.086005 ;
 5;	50;	3;	1024;		4015.000000,	0.081141 ;
 6;	50;	3;	1024;		4015.000000,	0.083903 ;
 7;	50;	3;	1024;		4015.000000,	0.081249 ;
 8;	50;	3;	1024;		4015.000000,	0.084577 ;
 9;	50;	3;	1024;		4015.000000,	0.081431 ;
 0;	50;	3;	2048;		4015.000000,	0.087793 ;
 1;	50;	3;	2048;		4015.000000,	0.089480 ;
 2;	50;	3;	2048;		4015.000000,	0.088030 ;
 3;	50;	3;	2048;		4015.000000,	0.092074 ;
 4;	50;	3;	2048;		4015.000000,	0.088217 ;
 5;	50;	3;	2048;		4015.000000,	0.087555 ;
 6;	50;	3;	2048;		4015.000000,	0.090411 ;
 7;	50;	3;	2048;		4015.000000,	0.087625 ;
 8;	50;	3;	2048;		4015.000000,	0.087594 ;
 9;	50;	3;	2048;		4015.000000,	0.090543 ;
 0;	50;	3;	4096;		4015.000000,	0.101931 ;
 1;	50;	3;	4096;		4015.000000,	0.103086 ;
 2;	50;	3;	4096;		4015.000000,	0.098982 ;
 3;	50;	3;	4096;		4015.000000,	0.104281 ;
 4;	50;	3;	4096;		4015.000000,	0.104846 ;
 5;	50;	3;	4096;		4015.000000,	0.105084 ;
 6;	50;	3;	4096;		4015.000000,	0.099429 ;
 7;	50;	3;	4096;		4015.000000,	0.103706 ;
 8;	50;	3;	4096;		4015.000000,	0.103933 ;
 9;	50;	3;	4096;		4015.000000,	0.103730 ;
 0;	50;	3;	8192;		4015.000000,	0.154038 ;
 1;	50;	3;	8192;		4015.000000,	0.152630 ;
 2;	50;	3;	8192;		4015.000000,	0.143820 ;
 3;	50;	3;	8192;		4015.000000,	0.143878 ;
 4;	50;	3;	8192;		4015.000000,	0.144093 ;
 5;	50;	3;	8192;		4015.000000,	0.143665 ;
 6;	50;	3;	8192;		4015.000000,	0.144121 ;
 7;	50;	3;	8192;		4015.000000,	0.144057 ;
 8;	50;	3;	8192;		4015.000000,	0.144184 ;
 9;	50;	3;	8192;		4015.000000,	0.148627 ;
 End Of Execution 

 ACO - Begin Of Execution
 run;	iter;	prob;	col size;	Fitness;	Total Time ;
 0;	50;	1;	1024;		3800.000000,	1.922998 ;
 1;	50;	1;	1024;		3800.000000,	0.021164 ;
 2;	50;	1;	1024;		3800.000000,	0.021137 ;
 3;	50;	1;	1024;		3800.000000,	0.021171 ;
 4;	50;	1;	1024;		3800.000000,	0.019772 ;
 5;	50;	1;	1024;		3800.000000,	0.018757 ;
 6;	50;	1;	1024;		3800.000000,	0.018909 ;
 7;	50;	1;	1024;		3800.000000,	0.018770 ;
 8;	50;	1;	1024;		3800.000000,	0.018938 ;
 9;	50;	1;	1024;		3800.000000,	0.018754 ;
 0;	50;	1;	2048;		3800.000000,	0.025282 ;
 1;	50;	1;	2048;		3800.000000,	0.025362 ;
 2;	50;	1;	2048;		3800.000000,	0.025265 ;
 3;	50;	1;	2048;		3800.000000,	0.024513 ;
 4;	50;	1;	2048;		3800.000000,	0.021521 ;
 5;	50;	1;	2048;		3800.000000,	0.021426 ;
 6;	50;	1;	2048;		3800.000000,	0.021401 ;
 7;	50;	1;	2048;		3800.000000,	0.021542 ;
 8;	50;	1;	2048;		3800.000000,	0.021406 ;
 9;	50;	1;	2048;		3800.000000,	0.021392 ;
 0;	50;	1;	4096;		3800.000000,	0.032810 ;
 1;	50;	1;	4096;		3800.000000,	0.032788 ;
 2;	50;	1;	4096;		3800.000000,	0.032657 ;
 3;	50;	1;	4096;		3800.000000,	0.032759 ;
 4;	50;	1;	4096;		3800.000000,	0.032847 ;
 5;	50;	1;	4096;		3800.000000,	0.032676 ;
 6;	50;	1;	4096;		3800.000000,	0.032792 ;
